Folder Temperature Condition Column Mean "Std Dev"
L5-L5 325K/Energy "dist < 12" lig -31.332333606557377 8.307698334604094
L5-L5 325K/Energy "dist < 12" wat -207738.11514385245 211.720380067994
L5-L5 325K/Energy "dist < 12" both-final -113.81455532786889 17.828809618166762
L5-L5 325K/Energy "dist < 12" lig-wat-final 25552.948506147535 2363.2953901623723
L5-L5 325K/Energy "dist < 12" pni-wat-final 30907.432366393463 957.0299871322048
L5-L5 325K/Energy "dist > 12" pni -83.3157037735849 7.653104819035169
L5-L5 325K/Energy "dist > 12" lig -16.846426415094342 9.377272886164533
L5-L5 325K/Energy "dist > 12" wat -207610.71525849064 212.81117469469822
L5-L5 325K/Energy "dist > 12" both-final -79.86122641509434 33.9827988527802
L5-L5 325K/Energy "dist > 12" lig-wat-final 25078.59512264151 2063.8471648395166
L5-L5 325K/Energy "dist > 12" pni-wat-final 30720.244435849057 1033.2266231600129
L5-L5 330K/Energy "dist < 12" pni -87.38185166051665 7.381073610725675
L5-L5 330K/Energy "dist < 12" lig -30.897624723247244 8.396837564288898
L5-L5 330K/Energy "dist < 12" wat -206605.4429228781 227.79283203961222
L5-L5 330K/Energy "dist < 12" both-final -105.33816088560884 18.125874915797326
L5-L5 330K/Energy "dist < 12" lig-wat-final 25523.38411107012 2466.1459661535123
L5-L5 330K/Energy "dist < 12" pni-wat-final 30733.95694870849 1024.4879659741086
L5-L5 330K/Energy "dist > 12" pni -82.33052307692307 8.796265629609314
L5-L5 330K/Energy "dist > 12" lig -16.70416153846154 9.737949973832352
L5-L5 330K/Energy "dist > 12" wat -206481.60336538465 282.83614508965053
L5-L5 330K/Energy "dist > 12" both-final -64.34802307692307 23.60088975955453
L5-L5 330K/Energy "dist > 12" lig-wat-final 25455.841519230777 2370.7203033388396
L5-L5 330K/Energy "dist > 12" pni-wat-final 30916.36413461539 947.249556250348
